歌曲名：Mine Mine, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：Mojito, 歌手名：周杰伦, 专辑名：Mojito
歌曲名：Now You See Me, 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：Try, 歌手名：周杰伦/派伟俊, 专辑名：Try
歌曲名：扯, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：枫, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：蜗牛 (Live), 歌手名：周杰伦, 专辑名：范特西PLUS
歌曲名：不该 (with aMEI), 歌手名：周杰伦, 专辑名：周杰伦的床边故事
歌曲名：屋顶, 歌手名：周杰伦/温岚, 专辑名：爱回温
歌曲名：娘子, 歌手名：周杰伦, 专辑名：Jay
歌曲名：斗牛, 歌手名：周杰伦, 专辑名：Jay
歌曲名：星晴, 歌手名：周杰伦, 专辑名：Jay
歌曲名：借口, 歌手名：周杰伦, 专辑名：七里香
歌曲名：双刀, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：外婆, 歌手名：周杰伦, 专辑名：七里香
歌曲名：安静, 歌手名：周杰伦, 专辑名：范特西
歌曲名：将军, 歌手名：周杰伦, 专辑名：七里香
歌曲名：彩虹, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：忍者, 歌手名：周杰伦, 专辑名：范特西
歌曲名：懦夫, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：搁浅, 歌手名：周杰伦, 专辑名：七里香
歌曲名：无双, 歌手名：周杰伦, 专辑名：我很忙
歌曲名：晴天, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：梯田, 歌手名：周杰伦, 专辑名：叶惠美
歌曲名：琴伤, 歌手名：周杰伦, 专辑名：惊叹号
歌曲名：稻香, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：花海, 歌手名：周杰伦, 专辑名：魔杰座
歌曲名：分裂, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：手语, 歌手名：周杰伦, 专辑名：十二新作
歌曲名：暗号, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：龙拳, 歌手名：周杰伦, 专辑名：八度空间
歌曲名：心雨, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：轨迹, 歌手名：周杰伦, 专辑名：寻找周杰伦
歌曲名：退后, 歌手名：周杰伦, 专辑名：依然范特西
歌曲名：夜曲, 歌手名：周杰伦, 专辑名：十一月的萧邦
歌曲名：窃爱, 歌手名：周杰伦, 专辑名：哎呦，不错哦
